pincode,city,koo,sta,state,ko,ui,cou,lt,lon,ui
132328,Kadiri,4017,AP,"Andhra Pradesh",101,IN,India,14.11168000,78.15982000,Q2351757
132332,Kaikalur,4017,AP,"Andhra Pradesh",101,IN,India,16.55154000,81.21400000,Q2290801
132678,Kakinada,4017,AP,"Andhra Pradesh",101,IN,India,16.96036000,82.23809000,Q59018
132358,Kalyandurg,4017,AP,"Andhra Pradesh",101,IN,India,14.54519000,77.10552000,Q2738467
132691,Kamalapuram,4017,AP,"Andhra Pradesh",101,IN,India,14.59830000,78.66948000,Q2441455
132372,Kandukur,4017,AP,"Andhra Pradesh",101,IN,India,15.21542000,79.90390000,Q2564821
132374,Kanigiri,4017,AP,"Andhra Pradesh",101,IN,India,15.40555000,79.50694000,Q12992748
132376,Kankipadu,4017,AP,"Andhra Pradesh",101,IN,India,16.43530000,80.76715000,Q3428285
132388,Kanuru,4017,AP,"Andhra Pradesh",101,IN,India,16.28584000,81.25464000,Q2564832
132729,Kavali,4017,AP,"Andhra Pradesh",101,IN,India,14.91630000,79.99449000,Q2138686
132552,Kolanukonda,4017,AP,"Andhra Pradesh",101,IN,India,16.45392000,80.61046000,Q6427052
132567,Kondapalle,4017,AP,"Andhra Pradesh",101,IN,India,16.61989000,80.54244000,Q2234676
132584,Korukollu,4017,AP,"Andhra Pradesh",101,IN,India,16.50000000,81.25000000,Q6432751
132590,Kosigi,4017,AP,"Andhra Pradesh",101,IN,India,15.85510000,77.24463000,Q6433178
132616,Kovvur,4017,AP,"Andhra Pradesh",101,IN,India,17.01620000,81.72934000,Q2235664
132621,Krishna,4017,AP,"Andhra Pradesh",101,IN,India,16.66667000,81.00000000,Q15382
132653,Kuppam,4017,AP,"Andhra Pradesh",101,IN,India,12.74931000,78.34189000,Q587868
132660,Kurnool,4017,AP,"Andhra Pradesh",101,IN,India,15.58333000,78.33333000,Q15381
133055,Macherla,4017,AP,"Andhra Pradesh",101,IN,India,16.47635000,79.43533000,Q2241562
132806,Machilipatnam,4017,AP,"Andhra Pradesh",101,IN,India,16.18747000,81.13888000,Q845662
132808,Madanapalle,4017,AP,"Andhra Pradesh",101,IN,India,13.55030000,78.50288000,Q1017723
133059,Madugula,4017,AP,"Andhra Pradesh",101,IN,India,17.91589000,82.81578000,Q3420577
132890,Mandapeta,4017,AP,"Andhra Pradesh",101,IN,India,16.86254000,81.92921000,Q2249065
132891,Mandasa,4017,AP,"Andhra Pradesh",101,IN,India,18.86830000,84.46296000,Q2249065
132902,Mangalagiri,4017,AP,"Andhra Pradesh",101,IN,India,16.43083000,80.56815000,Q2349939
133088,Markapur,4017,AP,"Andhra Pradesh",101,IN,India,15.73534000,79.26848000,Q2087705
133114,Nagari,4017,AP,"Andhra Pradesh",101,IN,India,13.32139000,79.58557000,Q3869911
133258,Nagireddipalli,4017,AP,"Andhra Pradesh",101,IN,India,14.27005000,79.10131000,Q847606
133143,Nandigama,4017,AP,"Andhra Pradesh",101,IN,India,16.77170000,80.28596000,Q3428280
133144,Nandikotkur,4017,AP,"Andhra Pradesh",101,IN,India,15.85668000,78.26569000,Q6963320
133146,Nandyal,4017,AP,"Andhra Pradesh",101,IN,India,15.47799000,78.48360000,Q1772751
133156,Narasannapeta,4017,AP,"Andhra Pradesh",101,IN,India,18.41428000,84.04463000,Q3429912
133157,Narasapur,4017,AP,"Andhra Pradesh",101,IN,India,16.43425000,81.69845000,Q379516
133158,Narasaraopet,4017,AP,"Andhra Pradesh",101,IN,India,16.23488000,80.04927000,Q2483789
133160,Narasingapuram,4017,AP,"Andhra Pradesh",101,IN,India,13.60759000,79.31652000,Q2475130
133275,Narayanavanam,4017,AP,"Andhra Pradesh",101,IN,India,13.42565000,79.58881000,Q2349929
133173,Narsipatnam,4017,AP,"Andhra Pradesh",101,IN,India,17.66709000,82.61245000,Q2563464
133283,Nayudupet,4017,AP,"Andhra Pradesh",101,IN,India,13.90742000,79.89465000,Q3873467
133206,Nellore,4017,AP,"Andhra Pradesh",101,IN,India,14.08333000,79.58333000,Q15383
133214,Nidadavole,4017,AP,"Andhra Pradesh",101,IN,India,16.90572000,81.67222000,Q2563407
133294,Nuzvid,4017,AP,"Andhra Pradesh",101,IN,India,16.78854000,80.84593000,Q2734090
133300,Ongole,4017,AP,"Andhra Pradesh",101,IN,India,15.50357000,80.04454000,Q1920249
133521,Pakala,4017,AP,"Andhra Pradesh",101,IN,India,13.44903000,79.11493000,Q3430034
133523,Palakollu,4017,AP,"Andhra Pradesh",101,IN,India,16.51670000,81.73000000,Q1945121
